symbol,github,langs,contributors,tags
BTC,https://github.com/bitcoin/bitcoin,"C++, Python, C, M4, Shell, Makefile","https://github.com/sipa, https://github.com/fanquake, https://github.com/jnewbery, https://github.com/theuni, https://github.com/jonasschnelli, https://github.com/ryanofsky, https://github.com/luke-jr, https://github.com/theStack, https://github.com/sdaftuar, https://github.com/non-github-bitcoin, https://github.com/vasild, https://github.com/Sjors, https://github.com/jamesob, https://github.com/instagibbs, https://github.com/amitiuttarwar, https://github.com/meshcollider, https://github.com/jtimon, https://github.com/darosior, https://github.com/paveljanik, https://github.com/petertodd, https://github.com/pstratem, https://github.com/cozz, https://github.com/domob1812, https://github.com/S3RK, https://github.com/jimpo, https://github.com/martinus, https://github.com/w0xlt, https://github.com/kiminuo, https://github.com/jarolrod, https://github.com/jl2012, https://github.com/aureleoules, https://github.com/CodeShark, https://github.com/dooglus, https://github.com/dhruv, https://github.com/dexX7, https://github.com/mjdietzx, https://github.com/eklitzke, https://github.com/mruddy, https://github.com/0xB10C, https://github.com/dgenr8, https://github.com/john-moffett, https://github.com/harding, https://github.com/benthecarman, https://github.com/Bushstar, https://github.com/mrbandrews, https://github.com/jb55, https://github.com/klementtan, https://github.com/scravy, https://github.com/murchandamus, https://github.com/Michagogo, https://github.com/laanwj, https://github.com/hebasto, https://github.com/achow101, https://github.com/practicalswift, https://github.com/jonatack, https://github.com/dongcarl, https://github.com/TheBlueMatt, https://github.com/gavinandresen, https://github.com/promag, https://github.com/MarcoFalke, https://github.com/ajtowns, https://github.com/glozow, https://github.com/morcos, https://github.com/furszy, https://github.com/kallewoof, https://github.com/gmaxwell, https://github.com/Empact, https://github.com/fjahr, https://github.com/brunoerg, https://github.com/mzumsande, https://github.com/ken2812221, https://github.com/dergoegge, https://github.com/TheCharlatan, https://github.com/JeremyRubin, https://github.com/stickies-v, https://github.com/sipsorcery, https://github.com/josibake, https://github.com/naumenkogs, https://github.com/rebroad, https://github.com/NicolasDorier, https://github.com/btcdrak, https://github.com/muggenhor, https://github.com/andrewtoth, https://github.com/gwillen, https://github.com/kazcw, https://github.com/icota, https://github.com/kristapsk, https://github.com/troygiorshev, https://github.com/willcl-ark, https://github.com/danra, https://github.com/wtogami, https://github.com/AkioNak, https://github.com/prusnak, https://github.com/l2a5b1, https://github.com/emilengler, https://github.com/elichai, https://github.com/sdkfjlsfjlskdfjlsdjflsjf, https://github.com/ishaanam, https://github.com/super3, https://github.com/skeees","PoW, SHA-256, Store Of Value, State Channel, Coinbase Ventures Portfolio, Three Arrows Capital Portfolio, Polychain Capital Portfolio, Binance Labs Portfolio, Blockchain Capital Portfolio, BoostVC Portfolio, CMS Holdings Portfolio, DCG Portfolio, DragonFly Capital Portfolio, Electric Capital Portfolio, Fabric Ventures Portfolio, Framework Ventures Portfolio, Galaxy Digital Portfolio, Huobi Capital Portfolio, Alameda Research Portfolio, a16z Portfolio, 1Confirmation Portfolio, Winklevoss Capital Portfolio, USV Portfolio, Placeholder Ventures Portfolio, Pantera Capital Portfolio, Multicoin Capital Portfolio, Paradigm Portfolio, FTX Bankruptcy Estate, Mineable, Bitcoin Ecosystem"
ETH,https://github.com/ethereum/go-ethereum,"Go, C, JavaScript, Assembly, Java, Sage","https://github.com/karalabe, https://github.com/holiman, https://github.com/rjl493456442, https://github.com/MariusVanDerWijden, https://github.com/debris, https://github.com/gballet, https://github.com/nonsense, https://github.com/jsvisa, https://github.com/bas-vk, https://github.com/acud, https://github.com/renaynay, https://github.com/Arachnid, https://github.com/holisticode, https://github.com/s7v7nislands, https://github.com/meowsbits, https://github.com/jpeletier, https://github.com/vbuterin, https://github.com/dbadoy, https://github.com/jwasinger, https://github.com/sandakersmann, https://github.com/egonelbre, https://github.com/ryanschneider, https://github.com/zhiqiangxu, https://github.com/SamuelMarks, https://github.com/darioush, https://github.com/jimenezrick, https://github.com/markya0616, https://github.com/adamschmideg, https://github.com/danlaine, https://github.com/Evolution404, https://github.com/CoreyLin, https://github.com/joohhnnn, https://github.com/kobigurk, https://github.com/mcdee, https://github.com/jeremyschlatter, https://github.com/axic, https://github.com/caktux, https://github.com/rociiu, https://github.com/cdetrio, https://github.com/mansaj, https://github.com/hydai, https://github.com/protolambda, https://github.com/gumb0, https://github.com/gbalint, https://github.com/Exca-DK, https://github.com/gurukamath, https://github.com/frewsxcv, https://github.com/hero5512, https://github.com/Dexaran, https://github.com/estensen, https://github.com/obscuren, https://github.com/fjl, https://github.com/tgerring, https://github.com/zelig, https://github.com/CJentzsch, https://github.com/zsfelfoldi, https://github.com/ucwong, https://github.com/s1na, https://github.com/janos, https://github.com/lightclient, https://github.com/gluk256, https://github.com/gavofyork, https://github.com/aaronbuchwald, https://github.com/ligi, https://github.com/nolash, https://github.com/Matthalp-zz, https://github.com/frncmx, https://github.com/kielbarry, https://github.com/chfast, https://github.com/cubedro, https://github.com/Zachinquarantine, https://github.com/kurkomisi, https://github.com/lmars, https://github.com/mrFranklin, https://github.com/wanderer, https://github.com/hackmod, https://github.com/BurtonQin, https://github.com/hadv, https://github.com/eltociear, https://github.com/winsvega, https://github.com/ethers, https://github.com/ferhatelmas, https://github.com/islishude, https://github.com/shazow, https://github.com/ebuchman, https://github.com/robert-zaremba, https://github.com/stevenroose, https://github.com/jtraglia, https://github.com/b00ris, https://github.com/baptiste-b-pegasys, https://github.com/suriyaa, https://github.com/erobit, https://github.com/lmittmann, https://github.com/manxiaqu, https://github.com/skylenet, https://github.com/carver, https://github.com/GagziW, https://github.com/wuestholz, https://github.com/Neurone, https://github.com/roberto-bayardo","PoS, Smart Contracts, Coinbase Ventures Portfolio, Three Arrows Capital Portfolio, Polychain Capital Portfolio, Binance Labs Portfolio, Blockchain Capital Portfolio, BoostVC Portfolio, CMS Holdings Portfolio, DCG Portfolio, DragonFly Capital Portfolio, Electric Capital Portfolio, Fabric Ventures Portfolio, Framework Ventures Portfolio, Hashkey Capital Portfolio, Kenetic Capital Portfolio, Huobi Capital Portfolio, Alameda Research Portfolio, a16z Portfolio, 1Confirmation Portfolio, Winklevoss Capital Portfolio, USV Portfolio, Placeholder Ventures Portfolio, Pantera Capital Portfolio, Multicoin Capital Portfolio, Paradigm Portfolio, Layer 1, FTX Bankruptcy Estate, Ethereum Ecosystem, Injective Ecosystem"
USDT,unknown,,,
BNB,https://github.com/bnb-chain,,,"Centralized Exchange (CEX) Token, Smart Contracts, Alameda Research Portfolio, Multicoin Capital Portfolio, Layer 1, SEC Security Token, Alleged SEC Securities, Celsius Bankruptcy Estate, Marketplace, Payments, BNB Chain"
XRP,https://github.com/ripple/rippled,"C++, C, CMake, Shell, JavaScript, Java","https://github.com/vinniefalco, https://github.com/nbougalis, https://github.com/rec, https://github.com/scottschurr, https://github.com/miguelportilla, https://github.com/mellery451, https://github.com/bachase, https://github.com/manojsdoshi, https://github.com/intelliot, https://github.com/alexdupre, https://github.com/legleux, https://github.com/pdehne, https://github.com/jatchili, https://github.com/RichardAH, https://github.com/jedmccaleb, https://github.com/gregtatcam, https://github.com/anfedorov, https://github.com/a-noni-mousse, https://github.com/NATTSiM, https://github.com/eltociear, https://github.com/pwang200, https://github.com/shawnxie999, https://github.com/yana-novikova, https://github.com/cjcobb23, https://github.com/justinlynn, https://github.com/ledhed2222, https://github.com/virtadpt, https://github.com/mvadari, https://github.com/dangell7, https://github.com/yusufsahinhamza, https://github.com/solmsted, https://github.com/xasos, https://github.com/arihantkothari, https://github.com/lieefu, https://github.com/ggprod, https://github.com/37, https://github.com/bharathchari, https://github.com/sappenin, https://github.com/gliptak, https://github.com/aishraj, https://github.com/RareData, https://github.com/LoveULin, https://github.com/demonstefan, https://github.com/invalidator, https://github.com/plan-do-break-fix, https://github.com/r0bertz, https://github.com/guidovranken, https://github.com/gitter-badger, https://github.com/levinwinter, https://github.com/empatogen, https://github.com/JoelKatz, https://github.com/ahbritto, https://github.com/seelabs, https://github.com/ximinez, https://github.com/HowardHinnant, https://github.com/justmoon, https://github.com/mtrippled, https://github.com/sublimator, https://github.com/thejohnfreeman, https://github.com/JoeLoser, https://github.com/MarkusTeufelberger, https://github.com/undertome, https://github.com/movitto, https://github.com/wltsmrz, https://github.com/mDuo13, https://github.com/josh-ripple, https://github.com/ckeshava, https://github.com/donovanhide, https://github.com/evhub, https://github.com/natenichols, https://github.com/carlhua, https://github.com/drlongle, https://github.com/alloynetworks, https://github.com/BobWay, https://github.com/greg7mdp, https://github.com/wojake, https://github.com/mayurbhandary, https://github.com/PeterChen13579, https://github.com/CodeShark, https://github.com/jscottbranson, https://github.com/vhpoet, https://github.com/fanatid, https://github.com/robcat, https://github.com/wilsonianb, https://github.com/fluxw42, https://github.com/jfryman, https://github.com/oeggert, https://github.com/godexsoft, https://github.com/warpaul, https://github.com/cbodley, https://github.com/ChronusZ, https://github.com/iroskam, https://github.com/WietseWind, https://github.com/ivishwas, https://github.com/ShangyanLi, https://github.com/kennyzlei, https://github.com/ameten, https://github.com/XRP-DEV, https://github.com/Frassle, https://github.com/ChristianRamseier","Arrington XRP Capital Portfolio, Galaxy Digital Portfolio, a16z Portfolio, Pantera Capital Portfolio, FTX Bankruptcy Estate, Medium of Exchange, Enterprise Solutions"
USDC,https://github.com/centrehq/centre-tokens,"JavaScript, Solidity, TypeScript, Shell","https://github.com/eztierney, https://github.com/walkerq, https://github.com/apps/dependabot, https://github.com/tjbaker, https://github.com/mgrissa, https://github.com/dmdque, https://github.com/anders94, https://github.com/o-a-hudson, https://github.com/mirathewhite, https://github.com/petejkim, https://github.com/0xj0hnny, https://github.com/cgst, https://github.com/gin, https://github.com/huaweigu, https://github.com/petetronic","Stablecoin, Asset-Backed Stablecoin, USD Stablecoin, Medium of Exchange, Hedera Hashgraph Ecosystem, Fantom Ecosystem, Arbitrum Ecosystem, Moonriver Ecosystem, BNB Chain, Optimism Ecosystem"
ADA,https://cardanoupdates.com/,,,"DPoS, PoS, Platform, Smart Contracts, Staking, Layer 1, SEC Security Token, Alleged SEC Securities, Research, Cardano Ecosystem, Cardano, Communications & Social Media"
DOGE,https://github.com/dogecoin/dogecoin,"C++, Python, C, M4, Makefile, Shell","https://github.com/sipa, https://github.com/gavinandresen, https://github.com/TheBlueMatt, https://github.com/non-github-bitcoin, https://github.com/fanquake, https://github.com/gmaxwell, https://github.com/petertodd, https://github.com/paveljanik, https://github.com/pstratem, https://github.com/jnewbery, https://github.com/instagibbs, https://github.com/CodeShark, https://github.com/btcdrak, https://github.com/langerhans, https://github.com/michilumin, https://github.com/wtogami, https://github.com/jl2012, https://github.com/achow101, https://github.com/super3, https://github.com/kdomanski, https://github.com/kallewoof, https://github.com/practicalswift, https://github.com/mruddy, https://github.com/maaku, https://github.com/xanimo, https://github.com/promag, https://github.com/ajweiss, https://github.com/Sporklin, https://github.com/sinetek, https://github.com/jamesob, https://github.com/joshtriplett, https://github.com/jordanlewis, https://github.com/slightlyskepticalpotat, https://github.com/AbcSxyZ, https://github.com/NicolasDorier, https://github.com/p2k, https://github.com/Matoking, https://github.com/ashleyholman, https://github.com/zw, https://github.com/randy-waterhouse, https://github.com/fsb4000, https://github.com/schildbach, https://github.com/sandakersmann, https://github.com/micaelmalta, https://github.com/r000n, https://github.com/robbak, https://github.com/UdjinM6, https://github.com/accraze, https://github.com/Michagogo, https://github.com/laanwj, https://github.com/theuni, https://github.com/jonasschnelli, https://github.com/luke-jr, https://github.com/patricklodder, https://github.com/sdaftuar, https://github.com/morcos, https://github.com/jtimon, https://github.com/cozz, https://github.com/ryanofsky, https://github.com/rebroad, https://github.com/muggenhor, https://github.com/domob1812, https://github.com/chromatic, https://github.com/dooglus, https://github.com/kazcw, https://github.com/dexX7, https://github.com/dgenr8, https://github.com/mrbandrews, https://github.com/sdkfjlsfjlskdfjlsdjflsjf, https://github.com/casey, https://github.com/ENikS, https://github.com/JeremyRubin, https://github.com/nomnombtc, https://github.com/codler, https://github.com/wizeman, https://github.com/dcousens, https://github.com/edtubbs, https://github.com/roques, https://github.com/MishaBoar, https://github.com/jmcorgan, https://github.com/isle2983, https://github.com/freewil, https://github.com/runeksvendsen, https://github.com/sje397, https://github.com/forrestv, https://github.com/jrmithdobbs, https://github.com/EthanHeilman, https://github.com/JoelKatz, https://github.com/dertin, https://github.com/alamshafil, https://github.com/OttoAllmendinger, https://github.com/vegard, https://github.com/maraoz, https://github.com/whitj00, https://github.com/federicobond, https://github.com/ptschip, https://github.com/rdponticelli, https://github.com/rnicoll","PoW, Scrypt, Doggone Doggerel, FTX Bankruptcy Estate, Medium of Exchange, Memes, Payments, Mineable, BNB Chain"
SOL,https://github.com/solana-labs,,,"PoS, Platform, CMS Holdings Portfolio, Kenetic Capital Portfolio, Alameda Research Portfolio, Multicoin Capital Portfolio, OKEx Blockdream Ventures Portfolio, Layer 1, FTX Bankruptcy Estate, SEC Security Token, Alleged SEC Securities, Solana Ecosystem"
TRX,https://github.com/tronprotocol/java-tron,Java,"https://github.com/ss3344520, https://github.com/zhangheng1536, https://github.com/zhangwenhua-tron, https://github.com/zhaohong, https://github.com/olenheim, https://github.com/yanghang8612, https://github.com/forfreeday, https://github.com/taihaofu, https://github.com/MiraculousWang, https://github.com/tjchern, https://github.com/HuangZhengSi, https://github.com/Sh11thead, https://github.com/houlei1017, https://github.com/conglinduye, https://github.com/jeancky, https://github.com/raymondliu0711, https://github.com/daniel-cao-byte, https://github.com/llwslc, https://github.com/jwrct, https://github.com/seanrobbins, https://github.com/skipjack8, https://github.com/DannaGuo, https://github.com/tronalex, https://github.com/geb789, https://github.com/dpneko, https://github.com/BentoCrypto, https://github.com/richardhallhall, https://github.com/M-blockcoder, https://github.com/kaiserlinda, https://github.com/helloboy12345, https://github.com/ZaraLang, https://github.com/timothyckw, https://github.com/daxinzang1, https://github.com/lucien-tronlab, https://github.com/sdargutev, https://github.com/ryukato, https://github.com/niuniublockchain, https://github.com/Vikingzzu, https://github.com/sss-rain110, https://github.com/farukonder, https://github.com/marilas, https://github.com/khuezy, https://github.com/DoctorLai, https://github.com/wqqh, https://github.com/RoddyZuy, https://github.com/wubin12, https://github.com/tomos01, https://github.com/CaliforniaGuyBTC, https://github.com/EleanoraJo, https://github.com/sean-liu55, https://github.com/Yrp, https://github.com/nanfengpo, https://github.com/lvs007, https://github.com/zergweak, https://github.com/sasaxie, https://github.com/317787106, https://github.com/ithinker1991, https://github.com/renchenchang, https://github.com/pangpangfeng, https://github.com/xiechang33, https://github.com/halibobo1205, https://github.com/jiangyy0824, https://github.com/Parachuteuk, https://github.com/mumianhua, https://github.com/AhnSinYong, https://github.com/shydesky, https://github.com/zhang0125, https://github.com/Rovak, https://github.com/Yuanshandai, https://github.com/lxcmyf, https://github.com/AlexeyAkhunov-star, https://github.com/alberto-zhang, https://github.com/tronfoundation, https://github.com/tomatoishealthy, https://github.com/ybhgenius, https://github.com/linktechchi, https://github.com/CarlChaoCarl, https://github.com/huzhenyuan, https://github.com/EmirateGo, https://github.com/wind4869, https://github.com/paoerpaul, https://github.com/jafferson01, https://github.com/JohnnyQQQQ, https://github.com/lucky7jia, https://github.com/gossens, https://github.com/shychrdw, https://github.com/fisher2015, https://github.com/kevinLee2015, https://github.com/bjianhang, https://github.com/BigFernando, https://github.com/nguyentruongtho, https://github.com/jackforest2014, https://github.com/iiimoon, https://github.com/TracyHesiCecil, https://github.com/Lredhdx, https://github.com/kookiekrak, https://github.com/lurais, https://github.com/call-me-nobody, https://github.com/DorianRust","DWF Labs Portfolio, SEC Security Token, Alleged SEC Securities, Media, Payments, TRON Ecosystem"
DOT,https://github.com/paritytech/polkadot,"Rust, Shell, Ruby, Dockerfile, JavaScript, Handlebars","https://github.com/rphmeier, https://github.com/ordian, https://github.com/shawntabrizi, https://github.com/eskimor, https://github.com/kianenigma, https://github.com/s3krit, https://github.com/KiChjang, https://github.com/sandreim, https://github.com/thiolliere, https://github.com/coderobe, https://github.com/mrcnski, https://github.com/montekki, https://github.com/TriplEight, https://github.com/pepoviola, https://github.com/acatangiu, https://github.com/emostov, https://github.com/niklasad1, https://github.com/joepetrowski, https://github.com/tomusdrw, https://github.com/vstakhov, https://github.com/mxinden, https://github.com/joao-paulo-parity, https://github.com/shaunxw, https://github.com/gilescope, https://github.com/muharem, https://github.com/sergejparity, https://github.com/skunert, https://github.com/koushiro, https://github.com/adoerr, https://github.com/athei, https://github.com/liamaharon, https://github.com/radupopa2010, https://github.com/Szegoo, https://github.com/lexnv, https://github.com/sorpaas, https://github.com/svyatonik, https://github.com/ddorgan, https://github.com/serban300, https://github.com/stanislav-tkach, https://github.com/Ank4n, https://github.com/rossbulat, https://github.com/liuchengxu, https://github.com/seunlanlege, https://github.com/bredamatt, https://github.com/melekes, https://github.com/NukeManDan, https://github.com/AurevoirXavier, https://github.com/gguoss, https://github.com/fgimenez, https://github.com/0x7CFE, https://github.com/bkchr, https://github.com/gavofyork, https://github.com/apps/dependabot, https://github.com/pepyakin, https://github.com/drahnr, https://github.com/andresilva, https://github.com/ggwpez, https://github.com/tomaka, https://github.com/coriolinus, https://github.com/chevdor, https://github.com/arkpar, https://github.com/alvicsam, https://github.com/tdimitrov, https://github.com/expenses, https://github.com/Lldenaurois, https://github.com/xlc, https://github.com/slumber, https://github.com/cecton, https://github.com/gabreal, https://github.com/apopiak, https://github.com/koute, https://github.com/michalkucharczyk, https://github.com/gnunicorn, https://github.com/davxy, https://github.com/BradleyOlson64, https://github.com/s0me0ne-unkn0wn, https://github.com/ferrell-code, https://github.com/altaua, https://github.com/HCastano, https://github.com/cheme, https://github.com/NikVolf, https://github.com/bkontur, https://github.com/altonen, https://github.com/octol, https://github.com/dmitry-markin, https://github.com/4meta5, https://github.com/PierreBesson, https://github.com/franciscoaguirre, https://github.com/dvdplm, https://github.com/rcny, https://github.com/ruseinov, https://github.com/hirschenberger, https://github.com/zjb0807, https://github.com/ascjones, https://github.com/AndreiEres, https://github.com/Doordashcon, https://github.com/nazar-pc, https://github.com/saki-osive, https://github.com/rakanalh, https://github.com/twittner","Substrate, Three Arrows Capital Portfolio, Polychain Capital Portfolio, Arrington XRP Capital Portfolio, Blockchain Capital Portfolio, BoostVC Portfolio, CMS Holdings Portfolio, Coinfund Portfolio, Fabric Ventures Portfolio, Fenbushi Capital Portfolio, Hashkey Capital Portfolio, Kenetic Capital Portfolio, 1Confirmation Portfolio, Placeholder Ventures Portfolio, Pantera Capital Portfolio, Exnetwork Capital Portfolio, Spartan Group, Layer 1, Web3, Polkadot, Binance Chain, Polkadot Ecosystem, Injective Ecosystem, BNB Chain"
DAI,unknown,,,"DeFi, Stablecoin, Asset-Backed Stablecoin, USD Stablecoin, Ethereum Ecosystem, Avalanche Ecosystem, Polygon Ecosystem, Fantom Ecosystem, Arbitrum Ecosystem, Harmony Ecosystem, Moonriver Ecosystem, BNB Chain, Optimism Ecosystem"
MATIC,https://github.com/maticnetwork/contracts,"JavaScript, Solidity, Shell","https://github.com/atvanguard, https://github.com/AyushKaul, https://github.com/gretzke, https://github.com/coinsandsteeldev, https://github.com/rahuldamodar94, https://github.com/ssandeep, https://github.com/vaibhavchellani, https://github.com/k06a, https://github.com/0xAshish, https://github.com/jdkanani, https://github.com/arthcp, https://github.com/zorancuc, https://github.com/sandeepnailwal, https://github.com/imyourm8, https://github.com/sanchaymittal, https://github.com/ptsayli, https://github.com/shogochiai","PoS, Platform, Zero Knowledge Proofs, Scaling, State Channel, Coinbase Ventures Portfolio, Layer 2, Binance Launchpad, Binance Labs Portfolio, FTX Bankruptcy Estate, SEC Security Token, Alleged SEC Securities, Enterprise Solutions, Polygon Ecosystem, Moonriver Ecosystem, Injective Ecosystem"
TON,https://github.com/ton-blockchain,,,"PoS, FTX Bankruptcy Estate, DWF Labs Portfolio, Toncoin Ecosystem"
