symbol,github,tags
BTC,https://github.com/bitcoin/bitcoin,"Mineable, PoW, SHA-256"
ETH,https://github.com/ethereum/go-ethereum,"PoS, Smart Contracts, Ethereum Ecosystem"
USDT,unknown,"Payments, Stablecoin, Asset-Backed Stablecoin"
BNB,https://github.com/bnb-chain,"Marketplace, Centralized Exchange (CEX) Token, Payments"
XRP,https://github.com/ripple/rippled,"Medium of Exchange, Enterprise Solutions, Arrington XRP Capital Portfolio"
USDC,https://github.com/centrehq/centre-tokens,"Medium of Exchange, Stablecoin, Asset-Backed Stablecoin"
ADA,https://cardanoupdates.com/,"DPoS, PoS, Platform"
DOGE,https://github.com/dogecoin/dogecoin,"Mineable, PoW, Scrypt"
SOL,https://github.com/solana-labs,"PoS, Platform, Solana Ecosystem"
TRX,https://github.com/tronprotocol/java-tron,"Media, Payments, TRON Ecosystem"
DOT,https://github.com/paritytech/polkadot,"Substrate, Polkadot, Binance Chain"
DAI,unknown,"DeFi, Stablecoin, Asset-Backed Stablecoin"
MATIC,https://github.com/maticnetwork/contracts,"PoS, Platform, Enterprise Solutions"
TON,https://github.com/ton-blockchain,"PoS, DWF Labs Portfolio, Toncoin Ecosystem"
LTC,https://github.com/litecoin-project/litecoin,"Mineable, PoW, Scrypt"
SHIB,unknown,"Memes, Ethereum Ecosystem, Doggone Doggerel"
WBTC,https://github.com/WrappedBTC/bitcoin-token-smart-contracts,"Medium of Exchange, DeFi, Wrapped Tokens"
BCH,https://gitlab.com/bitcoin-cash-node/,"Mineable, PoW, SHA-256"
LEO,unknown,"Marketplace, Centralized Exchange (CEX) Token, Discount Token"
AVAX,https://github.com/ava-labs/avalanchego,"DeFi, Smart Contracts, Three Arrows Capital Portfolio"
XLM,https://github.com/stellar/stellar-core,"Medium of Exchange, Enterprise Solutions, Decentralized Exchange (DEX) Token"
LINK,https://github.com/smartcontractkit/chainlink,"Platform, DeFi, Oracles"
BUSD,https://github.com/paxosglobal/busd-contract,"Stablecoin, Asset-Backed Stablecoin, Binance Chain"
TUSD,https://github.com/trusttoken/smart-contracts,"Store Of Value, Stablecoin, Asset-Backed Stablecoin"
UNI,unknown,"Decentralized Exchange (DEX) Token, DeFi, DAO"
XMR,https://github.com/monero-project/monero,"Mineable, PoW, Medium of Exchange"
OKB,unknown,"Marketplace, Centralized Exchange (CEX) Token, Discount Token"
ATOM,https://github.com/cosmos,"Platform, Cosmos Ecosystem, Content Creation"
ETC,https://github.com/ethereumclassic/ethereumclassic.github.io,"Mineable, PoW, Ethash"
HBAR,https://github.com/hashgraph,"DAG, Marketplace, Enterprise Solutions"
ICP,https://github.com/dfinity/ic,"Platform, Distributed Computing, Collectibles & NFTs"
FIL,https://github.com/filecoin-project/,"Mineable, Distributed Computing, Filesharing"
MNT,https://github.com/mantlenetworkio,"Ethereum Ecosystem, Layer 2, DWF Labs Portfolio"
LDO,https://github.com/lidofinance,"DeFi, DAO, Three Arrows Capital Portfolio"
CRO,https://github.com/crypto-org-chain/chain-main,"Medium of Exchange, Cosmos Ecosystem, Centralized Exchange (CEX) Token"
APT,unknown,"Binance Labs Portfolio, Aptos Ecosystem, Circle Ventures Portfolio"
QNT,https://github.com/quantnetwork/,"Platform, Interoperability"
ARB,unknown,"Scaling, DAO, DApp"
VET,https://github.com/vechain,"Logistics, Data Provenance, IoT"
NEAR,https://github.com/nearprotocol/nearcore,"Platform, Staking, Coinbase Ventures Portfolio"
OP,https://github.com/ethereum-optimism/,"Layer 2, Optimism Ecosystem"
MKR,https://github.com/makerdao,"Store Of Value, DeFi, DAO"
AAVE,https://github.com/aave,"DeFi, DAO, Yield Farming"
GRT,https://github.com/graphprotocol,"AI & Big Data, Enterprise Solutions, DeFi"
ALGO,https://github.com/algorand/go-algorand,"PoS, Platform, Research"
XDC,https://github.com/xinfinorg,"Enterprise Solutions, Smart Contracts, XDC Ecosystem"
USDD,https://tronscan.org/#/contract/TPYmHEhy5n8TCEfYGqW2rPxsghSfzghPDn/code,"Stablecoin, Algorithmic Stablecoin, Arbitrum Ecosystem"
AXS,unknown,"Collectibles & NFTs, Gaming, Binance Launchpad"
SAND,unknown,"Collectibles & NFTs, Content Creation, Gaming"
XTZ,https://gitlab.com/tezos/tezos,"PoS, Platform, Enterprise Solutions"
STX,https://github.com/stacks-network,"Mineable, Platform, Collectibles & NFTs"
EGLD,https://github.com/multiversx,"Binance Launchpad, Binance Labs Portfolio, Electric Capital Portfolio"
EOS,https://github.com/AntelopeIO/leap,"Medium of Exchange, Enterprise Solutions, Smart Contracts"
THETA,https://github.com/thetatoken,"Media, Collectibles & NFTs, Content Creation"
IMX,unknown,"Collectibles & NFTs, Zero Knowledge Proofs, Gaming"
INJ,https://github.com/InjectiveLabs,"PoS, Platform, Cosmos Ecosystem"
FTM,https://github.com/Fantom-Foundation,"Platform, Enterprise Solutions, DeFi"
BSV,https://github.com/bitcoin-sv/bitcoin-sv,"Mineable, PoW, SHA-256"
MANA,https://github.com/decentraland/mana,"Platform, Collectibles & NFTs, Gaming"
SNX,unknown,"Services, Decentralized Exchange (DEX) Token, DeFi"
RNDR,unknown,"Art, Media, VR/AR"
APE,unknown,"Collectibles & NFTs, Content Creation, Gaming"
USDP,https://github.com/paxosglobal/pax-contracts,"Store Of Value, Stablecoin, Asset-Backed Stablecoin"
NEO,https://github.com/neo-project/neo,"Platform, Enterprise Solutions, Smart Contracts"
RUNE,https://github.com/thorchain,"Cosmos Ecosystem, Decentralized Exchange (DEX) Token, DeFi"
KAVA,https://github.com/kava-labs,"Cosmos Ecosystem, DeFi, Binance Launchpad"
PAXG,https://github.com/paxosglobal/paxos-gold-contract,"BNB Chain, Tokenized Gold"
XAUt,unknown,Tokenized Gold
XEC,https://github.com/bitcoin-abc,Layer 1
FLOW,https://github.com/onflow,"Platform, Collectibles & NFTs, Staking"
RPL,https://github.com/rocket-pool/rocketpool,"DeFi, Liquid Staking Derivatives"
CHZ,unknown,"Sports, Collectibles & NFTs, Content Creation"
GALA,unknown,"Collectibles & NFTs, Gaming, BNB Smart Chain"
KLAY,https://github.com/klaytn/klaytn,"Platform, Enterprise Solutions, Injective Ecosystem"
KCS,unknown,"Marketplace, Centralized Exchange (CEX) Token, Discount Token"
FXS,https://github.com/fraxfinance,"DeFi, Seigniorage, Avalanche Ecosystem"
MIOTA,https://github.com/iotaledger,"DAG, Medium of Exchange, IoT"
ZEC,https://github.com/zcash/zcash,"Mineable, PoW, Equihash"
CSPR,https://github.com/casper-network/,"Enterprise Solutions, Arrington XRP Capital Portfolio, Hashkey Capital Portfolio"
SUI,https://github.com/MystenLabs,"Binance Launchpool, Coinbase Ventures Portfolio, Binance Labs Portfolio"
HT,unknown,
BTT,https://github.com/bittorrent,"Platform, Distributed Computing, Filesharing"
CRV,https://github.com/curvefi/curve-contract,"Decentralized Exchange (DEX) Token, DeFi, DAO"
CFX,https://github.com/Conflux-Chain,"Mineable, PoW, Platform"
MINA,https://github.com/MinaProtocol/mina,"PoS, Zero Knowledge Proofs, Staking"
GT,https://github.com/gatechain,"Marketplace, Centralized Exchange (CEX) Token, Discount Token"
LUNC,https://github.com/terra-money/core,"Cosmos Ecosystem, Store Of Value, DeFi"
TWT,https://github.com/trustwallet,"Wallet, Polygon Ecosystem, BNB Chain"
PEPE,unknown,Memes
DYDX,https://github.com/dydxfoundation/,"DeFi, Derivatives, Zero Knowledge Proofs"
COMP,https://github.com/compound-finance/compound-protocol,"DeFi, DAO, Yield Farming"
NEXO,https://github.com/nexofinance/NEXO-Token/,"Services, Payments, Cardano Ecosystem"
GMX,unknown,"Derivatives, DEX, Avalanche Ecosystem"
BONE,unknown,"Memes, Doggone Doggerel"
NFT,unknown,"Art, Collectibles & NFTs, TRON Ecosystem"
WOO,unknown,"Centralized Exchange (CEX) Token, Three Arrows Capital Portfolio, Exnetwork Capital Portfolio"
GUSD,https://github.com/gemini/dollar,"Store Of Value, Stablecoin, Asset-Backed Stablecoin"
FLR,https://github.com/flare-foundation/,DWF Labs Portfolio
ASTR,https://github.com/AstarNetwork/Astar,"Polkadot, Polkadot Ecosystem, OKEx Blockdream Ventures Portfolio"
DASH,https://github.com/dashpay/dash,"Mineable, Hybrid - PoW & PoS, X11"
AKT,unknown,"Cosmos Ecosystem, AI & Big Data, Distributed Computing"
CAKE,https://github.com/pancakeswap,"Collectibles & NFTs, Decentralized Exchange (DEX) Token, DeFi"
MX,unknown,"Marketplace, Centralized Exchange (CEX) Token, Discount Token"
AR,https://github.com/ArweaveTeam/arweave,"Distributed Computing, Filesharing, Storage"
ZIL,https://github.com/Zilliqa/Zilliqa,"Mineable, Platform, Payments"
ROSE,https://github.com/oasisprotocol/oasis-core,"Cosmos Ecosystem, AI & Big Data, Collectibles & NFTs"
GNO,unknown,"Services, Decentralized Exchange (DEX) Token, DeFi"
BAT,https://github.com/brave-intl/bat-ledger,"Marketing, Content Creation, DeFi"
SFP,https://github.com/SafePalWallet,"Wallet, Binance Launchpad, Injective Ecosystem"
1INCH,https://github.com/1inch,"Decentralized Exchange (DEX) Token, DeFi, Wallet"
SEI,https://github.com/sei-protocol,"Coinbase Ventures Portfolio, Multicoin Capital Portfolio, Layer 1"
XCH,https://github.com/Chia-Network/chia-blockchain,
LRC,https://github.com/loopring,"Marketplace, Decentralized Exchange (DEX) Token, DeFi"
ENJ,https://github.com/enjin/,"Media, Collectibles & NFTs, Gaming"
HNT,https://github.com/helium/,"Mineable, Enterprise Solutions, Distributed Computing"
QTUM,https://github.com/qtumproject/qtum/,"Platform, Smart Contracts, Kenetic Capital Portfolio"
ENS,https://github.com/ensdomains,"DAO, Governance, Web3"
XEM,https://github.com/NemProject,"PoI, Medium of Exchange, Payments"
BTG,https://github.com/BTCGPU/BTCGPU,"Mineable, Medium of Exchange, Payments"
AGIX,https://github.com/singnet/,"Marketplace, AI & Big Data, Payments"
CVX,https://github.com/convex-eth/platform,"DeFi, Yield Aggregator"
MASK,https://github.com/DimensionDev/Maskbook,"Communications & Social Media, Collectibles & NFTs, Content Creation"
CELO,https://github.com/celo-org/celo-monorepo/,"PoS, Zero Knowledge Proofs, Mobile"
TFUEL,https://github.com/thetatoken/theta-protocol-ledger,"Media, Content Creation, DeFi"
DCR,https://github.com/decred/,"Mineable, Hybrid - PoW & PoS, BLAKE256"
ANKR,https://github.com/Ankr-network,"Platform, Cosmos Ecosystem, Enterprise Solutions"
RVN,https://github.com/RavenProject/Ravencoin,"Mineable, PoW, Platform"
OSMO,https://github.com/osmosis-labs/osmosis,"Cosmos Ecosystem, Injective Ecosystem"
OCEAN,https://github.com/oceanprotocol,"Platform, AI & Big Data, DeFi"
YFI,https://github.com/yearn/iearn-finance,"DeFi, DAO, Yield Farming"
LPT,https://github.com/livepeer,"Coinfund Portfolio, DCG Portfolio, Pantera Capital Portfolio"
HOT,https://github.com/holochain/holochain-rust,"Platform, Distributed Computing, Filesharing"
JST,unknown,"DeFi, TRON Ecosystem"
GMT,unknown,"Collectibles & NFTs, Gaming, BNB Smart Chain"
BAL,https://github.com/balancer-labs,"Decentralized Exchange (DEX) Token, DeFi, DAO"
ELF,https://github.com/aelfProject,"Marketplace, Enterprise Solutions, Arrington XRP Capital Portfolio"
FET,https://github.com/fetchai,"Cosmos Ecosystem, AI & Big Data, Collectibles & NFTs"
BLUR,unknown,Collectibles & NFTs
WAVES,https://github.com/wavesplatform/,"LPoS, Platform, Smart Contracts"
GLM,https://github.com/golemfactory/golem,"Platform, Distributed Computing, Payments"
ANT,unknown,"Platform, Enterprise Solutions, DAO"
AUDIO,unknown,"Music, DAO, Coinbase Ventures Portfolio"
JASMY,unknown,"IoT, Ethereum Ecosystem, DWF Labs Portfolio"
FLOKI,https://github.com/floki-inu,"Gaming, Memes, Metaverse"
T,https://github.com/threshold-network,Bitcoin Ecosystem
ICX,https://github.com/icon-project,"Platform, Enterprise Solutions, Interoperability"
KSM,https://github.com/kusamanetwork,"Substrate, Polkadot Ecosystem, CMS Holdings Portfolio"
SC,https://github.com/SiaFoundation,"Mineable, PoW, Blake2b"
WLD,https://github.com/worldcoin,"Privacy, Zero Knowledge Proofs, Identity"
SXP,https://github.com/Solar-network,"Medium of Exchange, DeFi, Payments"
LUNA,https://github.com/terra-money/core,Alleged SEC Securities
ILV,unknown,"Collectibles & NFTs, Gaming, DAO"
HIVE,https://github.com/openhive-network/hive,"DPoS, Media, Content Creation"
ZRX,https://github.com/0xProject,"Platform, Decentralized Exchange (DEX) Token, DeFi"
ETHW,https://github.com/ethereumpow,PoW
ONT,https://github.com/ontio,"Enterprise Solutions, Identity, Metaverse"
SSV,https://github.com/bloxapp/ssv-web,
GLMR,https://github.com/PureStake/moonbeam,"Smart Contracts, Substrate, Polkadot"
IOST,unknown,"Hardware, IoT, Huobi Capital Portfolio"
BAND,https://github.com/bandprotocol,"Cosmos Ecosystem, DeFi, Oracles"
BICO,https://github.com/bcnmy,"Platform, Interoperability, Coinbase Ventures Portfolio"
ONE,https://github.com/harmony-one,"Platform, Enterprise Solutions, Scaling"
WAXP,https://github.com/worldwide-asset-exchange/,"Media, Collectibles & NFTs, Gaming"
SUSHI,https://github.com/sushiswap/sushiswap,"Collectibles & NFTs, Decentralized Exchange (DEX) Token, DeFi"
AXL,https://github.com/axelarnetwork,"Interoperability, Ethereum Ecosystem, Coinbase Ventures Portfolio"
IOTX,https://github.com/iotexproject/iotex-core,"Platform, IoT, Hashkey Capital Portfolio"
MAGIC,https://github.com/TreasureProject/,"Gaming, Metaverse, Arbitrum Ecosystem"
MC,unknown,"Gaming, Binance Launchpool, Governance"
USTC,https://github.com/terra-project,"Cosmos Ecosystem, Stablecoin, Algorithmic Stablecoin"
KDA,https://github.com/kadena-io/chainweb-node,"Mineable, PoW, Blake2S"
UNIBOT,unknown,"Ethereum Ecosystem, Telegram Bot"
BORA,unknown,"Marketplace, Gaming"
CKB,https://github.com/nervosnetwork,"Mineable, PoW, Platform"
DGB,https://github.com/DigiByte-Core,"Mineable, PoW, Multiple algorithms"
STG,unknown,"Ethereum Ecosystem, Avalanche Ecosystem, Polygon Ecosystem"
DAO,https://github.com/daomaker,"DeFi, Governance, Launchpad"
MOB,https://github.com/mobilecoinfoundation/mobilecoin,"Privacy, Payments, Arrington XRP Capital Portfolio"
RBN,https://github.com/ribbon-finance,"Derivatives, Coinbase Ventures Portfolio, Real World Assets"
CORE,unknown,
SKL,https://github.com/skalenetwork,"Platform, Scaling, Smart Contracts"
FLUX,https://github.com/runonflux,"Mineable, PoW, Distributed Computing"
UMA,https://github.com/UMAprotocol,"DeFi, Derivatives, Oracles"
ZEN,https://github.com/HorizenOfficial,"Mineable, PoW, Medium of Exchange"
GAL,unknown,"Binance Launchpool, MVB, Spartan Group"
RSR,https://github.com/reserve-protocol,"Store Of Value, DeFi, Coinbase Ventures Portfolio"
TOMO,https://github.com/tomochain/,"Platform, Alameda Research Portfolio, Injective Ecosystem"
EVER,https://github.com/tonlabs/ever-sdk,Everscale Ecosystem
STPT,unknown,"DeFi, Payments"
LSK,https://github.com/LiskHQ/lisk-sdk,"DPoS, Platform, Enterprise Solutions"
XNO,https://github.com/nanocurrency,"DAG, Blake2b, Medium of Exchange"
STORJ,https://github.com/storj/storj,"Platform, Distributed Computing, Filesharing"
ACH,https://github.com/Alchemy-GPS,DWF Labs Portfolio
KNC,https://github.com/kybernetwork,"Marketplace, Decentralized Exchange (DEX) Token, DeFi"
CTSI,https://github.com/cartesi,"PoS, Platform, Cosmos Ecosystem"
CELR,https://github.com/celer-network,"Platform, Enterprise Solutions, Zero Knowledge Proofs"
PLA,https://github.com/playdapp,"Gaming, Ethereum Ecosystem, Metaverse"
PUNDIX,unknown,
PYR,unknown,"Collectibles & NFTs, Gaming, Entertainment"
SNT,https://github.com/status-im,"Media, Content Creation, Privacy"
AMP,https://github.com/amptoken,"SEC Security Token, Alleged SEC Securities"
